,ID,condition,coords
d469,d469,d,"[[798.  493. ]
 [705.5 511.5]
 [630.5 547.5]
 [626.  497.5]]"
d577,d577,d,"[[755.3333  301.66666]
 [636.6667  311.66666]
 [640.      350.33334]
 [577.3333  408.33334]]"
e298,e298,e,"[[642.     473.    ]
 [744.6667 518.3333]
 [756.6667 573.    ]
 [736.     575.3333]
 [614.     549.6667]
 [717.     544.6667]
 [703.3333 458.    ]]"
v4134,v4134,v,"[[690.6667 649.6667]
 [590.     676.3333]
 [506.     659.    ]
 [671.5    628.    ]]"
d553,d553,d,"[[484.      550.     ]
 [496.66666 574.6667 ]
 [462.      613.3333 ]]"
d522,d522,d,"[[731. 559.]
 [687. 551.]
 [471. 528.]
 [478. 443.]
 [551. 532.]
 [579. 605.]
 [466. 545.]]"
d541,d541,d,"[[631.6667  385.33334]
 [649.      573.3333 ]]"
e176,e176,e,"[[664.6667  366.33334]
 [571.      361.     ]
 [661.      329.33334]]"
d1909,d1909,d,"[[599.      573.     ]
 [615.6667  593.6667 ]
 [598.3333  507.     ]
 [631.      469.66666]
 [711.      464.33334]]"
e243a,e243a,e,"[[450.      384.66666]
 [520.      462.33334]
 [520.3333  499.     ]
 [510.33334 514.     ]]"
e4082,e4082,e,"[[644.      402.     ]
 [595.      548.     ]
 [610.      339.     ]
 [746.6667  363.66666]]"
v4136,v4136,v,"[[342. 522.]
 [270. 599.]]"
e178a,e178a,e,"[[934.  417.5]
 [823.  420.5]
 [891.  349. ]
 [862.  393.5]]"
e178,e178,e,"[[802.5 548. ]
 [740.  620.5]
 [631.  628. ]
 [638.  683. ]
 [657.5 644. ]]"
e218,e218,e,"[[636.5 463. ]
 [761.  522. ]]"
e4059,e4059,e,"[[303. 381.]
 [283. 415.]
 [492. 501.]
 [230. 391.]
 [276. 433.]]"
d1001c,d1001c,d,"[[ 465.      2769.3333 ]
 [ 405.66666 2848.6667 ]]"
v6001,v6001,v,"[[2164. 1394.]
 [2008. 1294.]
 [1850. 1420.]]"
e4036,e4036,e,"[[617.      501.     ]
 [629.      486.33334]
 [585.6667  675.6667 ]]"
e195,e195,e,"[[342.      590.     ]
 [620.      184.     ]
 [660.6667  215.33333]
 [460.      285.33334]
 [577.3333  296.66666]
 [538.6667  245.33333]
 [510.      272.     ]]"
d139,d139,d,"[[ 979.6667  531.6667]
 [1024.3334  570.3333]]"
e253,e253,e,"[[602.5 532. ]
 [594.5 502.5]]"
e187,e187,e,"[[794.6667  451.66666]
 [760.6667  417.66666]
 [680.      453.     ]
 [723.3333  493.     ]
 [845.3333  414.33334]
 [705.3333  463.66666]]"
e206c,e206c,e,"[[779.6667 574.6667]
 [843.3333 599.    ]
 [795.     572.5   ]]"
