,ID,condition,coords
d126,d126,d,"[[627.     439.    ]
 [619.     453.5   ]
 [612.5    469.5   ]
 [605.     489.    ]
 [597.5    511.    ]
 [591.5    531.    ]
 [584.5    548.5   ]
 [574.5    569.    ]
 [574.5    569.1667]]"
e4013,e4013,e,"[[479 289]
 [464 314]
 [456 334]
 [448 354]
 [446 378]
 [448 404]
 [456 427]
 [467 452]
 [483 474]
 [496 498]
 [508 523]
 [513 539]]"
e4036a,e4036a,e,"[[696.8333  416.5    ]
 [720.5     417.5    ]
 [735.8333  417.83334]
 [747.1666  417.16666]
 [761.8333  417.16666]
 [777.5     419.5    ]
 [795.8333  419.5    ]
 [812.8333  421.16666]]"
e198,e198,e,"[[587.  659.5]
 [608.5 662.5]
 [636.  662. ]
 [651.5 661.5]
 [668.  656.5]
 [680.5 656.5]
 [701.  648. ]
 [717.  643. ]
 [734.5 643. ]
 [754.  645. ]
 [771.  641.5]
 [786.5 635. ]
 [811.5 631. ]]"
d1894,d1894,d,"[[620.5    656.8333]
 [610.8333 656.8333]
 [600.8333 658.1666]
 [587.1667 658.1666]
 [577.1667 660.5   ]
 [567.5    664.5   ]
 [555.8333 667.5   ]
 [543.5    673.5   ]
 [532.8333 677.8333]
 [523.1667 683.1666]
 [508.5    689.8333]]"
e207,e207,e,"[[697.5     390.25   ]
 [710.25    373.75   ]
 [718.5     361.5    ]
 [722.5     353.75   ]
 [729.5     343.25   ]
 [737.5     328.25   ]
 [747.25    314.75   ]
 [751.      308.5    ]
 [756.5     300.25   ]
 [769.      282.25   ]
 [775.      272.5    ]
 [785.      260.25   ]
 [792.5     250.     ]
 [810.      226.16667]]"
d102,d102,d,"[[562.      467.     ]
 [567.25    456.75   ]
 [570.25    446.75   ]
 [572.75    436.75   ]
 [576.5     427.25   ]
 [578.5     419.75   ]
 [580.25    413.5    ]
 [582.75    408.25   ]
 [586.25    400.     ]
 [586.6667  398.16666]
 [587.25    394.75   ]]"
e4046,e4046,e,"[[821.1667  389.83334]
 [806.8334  387.5    ]
 [786.1667  384.5    ]
 [769.8334  377.5    ]
 [753.5     372.5    ]
 [737.8334  363.83334]
 [727.1667  359.83334]]"
e4037,e4037,e,"[[883.75 332.  ]
 [883.25 343.25]
 [883.   353.25]
 [883.5  360.75]
 [883.5  368.25]
 [883.25 376.5 ]
 [883.25 384.75]
 [884.25 395.  ]
 [884.   404.5 ]
 [884.   419.75]]"
e268,e268,e,"[[563.1667 715.8333]
 [572.1667 707.8333]
 [579.1667 701.8333]
 [587.5    695.1666]
 [595.8334 689.1666]
 [605.1667 682.5   ]
 [614.5    677.5   ]
 [621.1667 675.8333]
 [628.8334 673.8333]
 [641.5    672.8333]
 [654.8334 671.8333]
 [676.1667 672.5   ]]"
e4019a,e4019a,e,"[[524.  687.5]
 [533.5 711. ]
 [548.5 741.5]
 [562.  767. ]]"
e215,e215,e,"[[625.5 391. ]
 [627.  404. ]
 [627.  412. ]
 [632.5 422. ]
 [634.  433. ]
 [637.5 449. ]
 [642.  465. ]
 [645.5 479.5]
 [651.  499. ]]"
d595,d595,d,"[[971.  311. ]
 [962.  323. ]
 [955.5 341. ]
 [953.  361.5]
 [953.5 380.5]
 [954.5 400. ]
 [957.  418.5]
 [963.  430.5]
 [969.  439. ]]"
e296a,e296a,e,"[[681.  516.5]
 [678.  526. ]
 [676.5 537.5]
 [672.5 548.5]
 [675.  558.5]
 [677.5 569. ]
 [676.5 578.5]
 [674.  592. ]
 [674.5 605. ]
 [675.  621.5]
 [676.5 634.5]
 [677.  643. ]
 [683.5 655.5]]"
d2112,d2112,d,"[[629.1667  575.5    ]
 [615.5     562.5    ]
 [605.8334  553.5    ]
 [594.1667  544.8333 ]
 [576.1667  532.5    ]
 [563.8334  524.5    ]
 [552.5     520.5    ]
 [543.5     517.5    ]
 [535.8334  513.5    ]
 [523.1667  507.16666]]"
d433,d433,d,"[[707.5     417.16666]
 [703.5     423.5    ]
 [699.5     425.5    ]
 [696.1667  430.5    ]
 [689.8333  437.16666]
 [681.8333  445.16666]
 [674.8333  450.5    ]
 [668.1667  457.5    ]
 [661.5     462.8333 ]
 [655.8333  469.16666]
 [649.5     475.16666]
 [641.1667  483.5    ]
 [633.5     493.16666]
 [626.1667  498.5    ]]"
d450,d450,d,"[[461.  655. ]
 [458.5 646. ]
 [456.5 631.5]
 [456.5 617. ]
 [459.5 596.5]
 [465.  583.5]
 [468.  576.5]
 [475.  562.5]
 [480.5 553. ]
 [486.  541. ]
 [495.5 532.5]
 [502.5 520. ]
 [506.  513.5]]"
d1007,d1007,d,"[[2342.   277.5]
 [2345.   261. ]
 [2355.   239. ]
 [2360.5  228. ]
 [2365.   210.5]
 [2368.5  189. ]]"
e289,e289,e,"[[421 638]
 [446 651]
 [472 662]
 [504 666]
 [544 668]
 [569 666]]"
v4120,v4120,v,"[[795.5 475. ]
 [810.5 467.5]
 [825.  460. ]
 [838.  454. ]
 [850.5 448.5]
 [866.5 442. ]
 [884.  433.5]
 [905.  425.5]
 [927.5 420. ]
 [943.  420. ]
 [960.5 420.5]
 [976.  422. ]
 [995.  429.5]]"
d2109,d2109,d,"[[839.      421.66666]
 [833.      413.5    ]
 [820.8333  398.5    ]
 [814.1667  390.16666]
 [806.6667  385.3333 ]
 [793.5     376.     ]
 [783.75    369.     ]
 [773.75    360.5    ]
 [766.25    354.5    ]
 [756.5     345.75   ]
 [751.      338.75   ]
 [745.8333  332.5    ]
 [739.8333  324.5    ]]"
d412,d412,d,"[[335.   383.75]
 [344.25 386.25]
 [354.   387.5 ]
 [363.25 388.5 ]
 [374.25 392.  ]
 [382.5  394.5 ]
 [392.75 399.  ]
 [406.   407.75]]"
d463,d463,d,"[[591.5     438.5    ]
 [599.8333  444.83334]
 [613.5     451.5    ]
 [621.5     455.5    ]
 [630.5     459.16666]
 [639.1667  463.16666]
 [643.8333  465.16666]
 [655.8333  468.83334]
 [670.5     471.5    ]
 [681.5     474.16666]
 [692.8333  474.5    ]
 [704.8333  474.16666]]"
d1891,d1891,d,"[[788.1667 654.    ]
 [775.1667 652.6667]
 [763.1667 650.8333]
 [752.3334 648.6667]
 [730.5    644.5   ]
 [714.25   641.    ]
 [698.25   637.75  ]
 [679.5    631.3333]
 [665.5    627.    ]
 [644.1667 621.6667]
 [633.5    619.6667]
 [607.     612.75  ]]"
d2087,d2087,d,"[[696.5 528. ]
 [683.  525. ]
 [671.5 525. ]
 [655.5 522.5]
 [643.  518.5]
 [630.5 517. ]
 [619.5 514. ]
 [600.5 512.5]]"
